amfi_code,CAGR,Sharpe_Ratio,Max_Drawdown,CAGR_Rank,Sharpe_Rank,Drawdown_Rank,Final_Score
148567,0.309499203628742,1.4482911703262598,-0.1126572907502827,5.0,1.0,8.0,14.0
120843,0.308833255251546,1.3067439695428409,-0.1297396816518679,6.0,2.0,13.0,21.0
148569,0.3192448584815872,1.2349300257743294,-0.1639674294693263,4.0,3.0,21.0,28.0
101206,0.2352048875423038,1.0272133278753697,-0.1129159632932307,12.0,9.0,9.0,30.0
119551,0.2578492084946409,1.2082665673727175,-0.1501238549864533,10.0,4.0,17.0,31.0
120505,0.3280159948038617,1.1801011976606492,-0.1818851357211629,1.0,5.0,25.0,31.0
100033,0.3009970355287452,1.093698743534631,-0.1621720857464485,7.0,7.0,20.0,34.0
120504,0.2327744753273051,1.0265242847993,-0.1258827560692251,13.0,10.0,12.0,35.0
149323,0.2955810523256834,1.1321218524747243,-0.1724810575345138,8.0,6.0,22.0,36.0
119552,0.2150802178549933,0.9532794968660104,-0.118034935027643,15.0,12.0,11.0,38.0
